Z,Y,X,Red,Green,Blue,Size
0,59,194,90,110,130,1
0,59,195,140,146,144,1
0,59,196,145,150,154,1
0,59,197,148,153,161,1
0,59,198,168,171,185,1
0,59,199,172,160,164,1
0,59,200,170,164,164,1
0,59,201,166,140,131,1
0,59,202,122,115,117,1
0,59,203,114,100,75,1
0,59,204,68,59,47,1
0,59,313,51,62,73,1
0,59,314,88,95,82,1
0,59,315,89,113,132,1
0,59,316,143,144,151,1
0,59,317,156,140,133,1
0,59,318,134,115,114,1
0,59,319,120,118,117,1
0,59,320,117,111,103,1
0,59,321,97,98,90,1
0,59,322,93,108,129,1
0,59,323,139,150,155,1
0,59,324,158,157,162,1
0,59,325,167,162,162,1
0,59,326,167,173,180,1
0,59,327,170,159,166,1
0,59,328,174,174,164,1
0,59,329,162,146,129,1
0,59,330,134,135,118,1
0,59,331,110,96,73,1
0,59,332,61,52,45,1
0,60,57,52,65,73,1
0,60,58,87,105,89,1
0,60,59,91,112,140,1
0,60,60,160,153,151,1
0,60,61,147,143,137,1
0,60,62,131,118,118,1
0,60,63,120,115,105,1
0,60,64,109,102,98,1
0,60,65,94,89,82,1
0,60,66,89,116,136,1
0,60,67,143,156,155,1
0,60,68,159,158,163,1
0,60,69,170,160,168,1
0,60,70,171,179,181,1
0,60,71,182,169,169,1
0,60,72,171,176,157,1
0,60,73,148,147,139,1
0,60,74,144,133,101,1
0,60,75,93,90,69,1
0,60,76,59,54,50,1
0,60,185,58,76,76,1
0,60,186,85,104,99,1
0,60,187,104,114,142,1
0,60,188,174,174,159,1
0,60,189,137,131,138,1
0,60,190,137,128,127,1
0,60,191,135,117,97,1
0,60,192,94,99,100,1
0,60,193,96,95,81,1
0,60,194,82,105,125,1
0,60,195,140,165,154,1
0,60,196,162,165,170,1
0,60,197,175,166,177,1
0,60,198,177,175,170,1
0,60,199,178,173,166,1
0,60,200,163,163,151,1
0,60,201,145,140,139,1
0,60,202,134,117,88,1
0,60,203,78,81,64,1
0,60,204,55,49,40,1
0,60,313,66,87,97,1
0,60,314,104,104,103,1
0,60,315,102,102,131,1
0,60,316,162,186,177,1
0,60,317,142,132,143,1
0,60,318,145,125,126,1
0,60,319,135,118,109,1
0,60,320,114,113,99,1
0,60,321,106,104,81,1
0,60,322,78,92,113,1
0,60,323,135,153,150,1
0,60,324,156,161,172,1
0,60,325,178,177,184,1
0,60,326,178,183,177,1
0,60,327,168,164,148,1
0,60,328,149,148,144,1
0,60,329,141,136,142,1
0,60,330,134,108,82,1
0,60,331,71,64,51,1
0,61,56,29,42,62,1
0,61,57,82,90,102,1
0,61,58,117,122,113,1
0,61,59,106,106,125,1
0,61,60,157,170,161,1
0,61,61,161,153,155,1
0,61,62,149,128,123,1
0,61,63,126,129,122,1
0,61,64,118,109,98,1
0,61,65,109,112,91,1
0,61,66,78,87,110,1
0,61,67,128,142,153,1
0,61,68,163,173,178,1
0,61,69,172,177,179,1
0,61,70,177,184,184,1
0,61,71,185,165,146,1
0,61,72,145,137,140,1
0,61,73,148,147,127,1
0,61,74,121,90,70,1
0,61,75,72,62,51,1
0,61,184,32,51,72,1
0,61,185,85,97,106,1
0,61,186,109,118,121,1
0,61,187,122,114,112,1
0,61,188,143,160,156,1
0,61,189,160,150,155,1
0,61,190,149,136,130,1
0,61,191,127,135,126,1
0,61,192,110,106,102,1
0,61,193,102,111,104,1
0,61,194,81,80,98,1
0,61,195,112,123,143,1
0,61,196,164,181,184,1
0,61,197,171,168,183,1
0,61,198,187,187,192,1
0,61,199,193,173,167,1
0,61,200,156,134,141,1
0,61,201,152,141,116,1
0,61,202,104,79,64,1
0,61,203,69,69,54,1
0,61,312,39,61,76,1
0,61,313,86,105,117,1
0,61,314,113,110,124,1
0,61,315,124,115,113,1
0,61,316,136,159,161,1
0,61,317,153,152,153,1
0,61,318,154,158,154,1
0,61,319,139,141,130,1
0,61,320,108,109,112,1
0,61,321,125,123,96,1
0,61,322,79,85,95,1
0,61,323,102,117,143,1
0,61,324,153,157,162,1
0,61,325,171,182,186,1
0,61,326,196,197,176,1
